"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Spread,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"^BVSP, Long, 2026-04-27 (Price: 189578.7969)",No Exit Yet,"-2.89%, 11 days","80.0%, Past 25 years, 15","Weekly, was CONFIRMED on 2026-04-27",No Cancellation Possible,"2026-05-08 (Price: 184108.2969), 2.89% below",11 days,11.63%,18.36%/16.77%/17.34%,"28.74%, 33.35%",4.3 years/2.1 months/8.4 months,2032-06-16/2026-07-27/2027-04-27,5.75%,7.46%,-1.71%,0.26,-0.13,195209.2872/222451.7603/192289.6/No Horizontal Resistance/192289.6/275648.698/No EMA 200 Target,176219.0/96132.0/173653.968/121313.6/No F-Track Level/No F-Track Level/162050.3,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),0.0
"SPOT, Long, 2026-04-27 (Price: 495.82)",No Exit Yet,"-15.73%, 11 days","100.0%, Past 8 years, 4","Weekly, was CONFIRMED on 2026-04-27",No Cancellation Possible,"2026-05-08 (Price: 417.83), 15.73% below",11 days,11.63%,46.58%/30.39%/34.75%,"0%, 45.57%",2.2 years/19 days/9.2 months,2029-06-17/2026-05-24/2027-05-31,22.69%,9.35%,13.34%,7.01,0.03,533.0561/668.1174/842.022/No Horizontal Resistance/842.022/896.959/585.02,422.61/118.6/456.7863/433.8097/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),508.84
"BEL.NS, Long, 2026-04-27 (Price: 435.6)",No Exit Yet,"0.94%, 11 days","100.0%, Past 23 years, 4","Weekly, was CONFIRMED on 2026-04-27",No Cancellation Possible,"2026-05-08 (Price: 439.7), 0.94% above",11 days,11.63%,12184.83%/422.85%/6303.84%,"-0.0%, 73.8%",15.3 years/3 years/9.1 years,2048-02-28/2030-08-08/2039-04-24,33.1%,16.83%,16.27%,0.52,0.12,No Target/27895.127/456.8119/No Horizontal Resistance/456.8119/613.9011/No EMA 200 Target,404.75/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/413.78,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),445.0
"WCN.TO, Long, 2026-04-27 (Price: 220.28)",No Exit Yet,"-5.67%, 11 days","78.95%, Past 24 years, 19","Weekly, was CONFIRMED on 2026-04-27",No Cancellation Possible,"2026-05-08 (Price: 207.78), 5.67% below",11 days,11.63%,16.77%/15.22%/15.84%,"29.79%, 31.21%",9.1 months/7 days/4.1 months,2027-05-27/2026-05-07/2026-10-20,5.93%,8.42%,-2.49%,0.24,-0.13,228.4744/255.1724/354.4788/252.7/354.4788/566.6704/236.88,216.7/148.255/142.2872/92.1958/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),225.46
"WIPRO.NS, Long, 2026-04-24 (Price: 199.36)",No Exit Yet,"-0.73%, 14 days","86.67%, Past 25 years, 15","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-08 (Price: 197.91), 0.73% below",14 days,11.63%,32.05%/22.31%/25.2%,"37.94%, 34.01%",2.3 years/11 days/7.5 months,2029-08-03/2026-05-09/2027-03-15,10.04%,5.49%,4.55%,0.58,-0.1,207.6334/249.5987/412.2037/366.6625/412.2037/473.5829/236.18,190.9/187.6062/198.5041/179.092/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),204.5
"WPM.TO, Long, 2026-04-24 (Price: 190.47)",No Exit Yet,"-0.28%, 14 days","85.71%, Past 20 years, 14","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-08 (Price: 189.94), 0.28% below",14 days,11.63%,36.24%/28.66%/31.38%,"45.88%, 55.53%",3.5 years/9 days/6.4 months,2031-04-23/2026-05-07/2027-01-27,13.2%,12.39%,0.81%,0.63,0.06,205.5933/250.2395/233.8832/No Horizontal Resistance/233.8832/263.3933/No EMA 200 Target,157.08/52.782/180.0371/146.152/No F-Track Level/No F-Track Level/164.68,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),205.63
"BPCL.NS, Long, 2026-04-24 (Price: 308.1)",No Exit Yet,"-1.74%, 14 days","100.0%, Past 25 years, 8","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-08 (Price: 302.75), 1.74% below",14 days,11.63%,470.7%/68.82%/128.34%,"-0.0%, 60.18%",4.6 years/1.7 month/1.7 year,2032-11-15/2026-07-06/2028-09-26,26.72%,8.56%,18.16%,0.72,0.06,321.9645/703.5155/393.108/383.0667/393.108/467.0257/340.23,278.15/145.35/295.7614/248.4289/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),312.1
"NZDCAD=X, Long, 2026-04-24 (Price: 0.8033)",No Exit Yet,"1.54%, 14 days","71.43%, Past 22 years, 21","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-08 (Price: 0.8157), 1.54% above",14 days,11.63%,7.19%/6.11%/6.4%,"17.07%, 11.02%",1.3 year/16 days/4.5 months,2028-03-01/2026-05-17/2026-11-05,2.8%,-0.17%,2.97%,-0.07,-1.01,0.8104/0.8547/1.0924/0.8902/1.0924/1.3117/0.81,0.79/0.783/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),0.8038
"WPM, Long, 2026-04-24 (Price: 139.44)",No Exit Yet,"-0.42%, 14 days","86.67%, Past 20 years, 15","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-08 (Price: 138.85), 0.42% below",14 days,11.63%,35.64%/30.37%/32.8%,"48.0%, 57.78%",3.7 years/9 days/6.4 months,2031-08-05/2026-05-07/2027-01-27,14.66%,13.17%,1.49%,0.65,0.08,148.908/185.1763/208.744/No Horizontal Resistance/208.744/224.283/No EMA 200 Target,114.62/38.3375/133.5026/114.4872/No F-Track Level/No F-Track Level/119.3,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),150.36
"BDGI.TO, Long, 2026-04-24 (Price: 63.71)",2026-05-01 (Price: 78.36),"22.99%, 7 days","78.57%, Past 25 years, 14","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-08 (Price: 84.1), 32.0% above",14 days,11.63%,37.5%/26.11%/30.68%,"45.17%, 49.58%",7.9 months/20 days/4.1 months,2027-04-02/2026-05-22/2026-10-17,7.19%,13.14%,-5.95%,0.36,0.06,66.7617/83.2562/79.9248/No Horizontal Resistance/79.9248/84.3122/67.22,60.49/24.32/58.0566/53.241/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),62.38
"BBTC.NS, Long, 2026-04-24 (Price: 1492.7)",No Exit Yet,"4.61%, 14 days","85.71%, Past 23 years, 14","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-08 (Price: 1561.5), 4.61% above",14 days,11.63%,43.46%/33.1%/37.61%,"50.52%, 56.37%",3.2 years/11 days/10.3 months,2030-11-17/2026-05-09/2027-07-15,11.76%,15.96%,-4.2%,0.6,0.12,1575.8434/2054.1045/3412.111/2145.0/3412.111/3761.7441/1785.82,1375.0/846.25/1057.7422/973.2526/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),1540.0
"IMO.TO, Long, 2026-04-24 (Price: 169.79)",No Exit Yet,"2.3%, 14 days","84.62%, Past 25 years, 13","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-08 (Price: 173.7), 2.3% above",14 days,11.63%,24.26%/19.3%/20.89%,"39.96%, 38.59%",2.8 years/1.1 month/8.8 months,2030-04-21/2026-06-10/2027-05-11,7.09%,7.38%,-0.29%,0.39,-0.1,170.5541/205.2591/188.7349/No Horizontal Resistance/188.7349/196.834/No EMA 200 Target,116.04/60.8067/143.048/134.0661/No F-Track Level/No F-Track Level/140.57,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),167.49
"WFG.TO, Long, 2026-04-24 (Price: 89.5)",No Exit Yet,"-5.43%, 14 days","73.33%, Past 25 years, 15","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-08 (Price: 84.64), 5.43% below",14 days,11.63%,25.64%/22.25%/24.14%,"34.07%, 41.0%",1.5 year/1.3 month/9.8 months,2028-06-14/2026-06-19/2027-06-23,3.22%,5.08%,-1.86%,0.11,-0.11,90.386/111.1053/170.6139/131.52/170.6139/181.1797/92.05,82.38/81.2433/80.1487/76.1079/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),91.2
"NOVA.F, Long, 2026-04-23 (Price: 32.66)",2026-05-06 (Price: 39.32),"20.39%, 13 days","80.0%, Past 20 years, 15","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-08 (Price: 38.92), 19.17% above",15 days,11.63%,39.56%/19.8%/22.3%,"34.96%, 37.68%",1.8 year/16 days/6.7 months,2028-11-16/2026-05-16/2027-02-08,8.66%,10.15%,-1.49%,0.42,-0.04,33.8782/39.9432/138.0871/126.5/138.0871/146.706/42.48,31.2/No Horizontal Support/28.7825/27.6391/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),34.12
"SFTBY, Long, 2025-12-04 (Price: 14.585)",2026-04-24 (Price: 19.34),"32.6%, 4.7 months","87.5%, Past 14 years, 8","Weekly, was CONFIRMED on 2025-12-04",No Cancellation Possible,"2026-05-08 (Price: 20.15), 38.16% above",5.2 months,13.49%,33.97%/26.09%/28.27%,"47.93%, 46.53%",1 year/1.2 month/4.4 months,2027-05-09/2026-01-25/2026-06-13,11.06%,11.93%,-0.87%,0.63,0.04,14.6433/18.7082/23.8631/No Horizontal Resistance/23.8631/27.246/No EMA 200 Target,13.45/4.205/14.0995/12.0968/No F-Track Level/No F-Track Level/14.5,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),13.25
"AMZN, Long, 2025-10-10 (Price: 216.37)",2026-04-24 (Price: 263.99),"22.01%, 6.5 months","84.21%, Past 25 years, 19","Weekly, was CONFIRMED on 2025-10-10",No Cancellation Possible,"2026-05-08 (Price: 272.68), 26.02% above",7 months,10.23%,53.5%/27.25%/30.37%,"42.86%, 50.62%",11.9 months/25 days/5.2 months,2027-03-11/2025-11-15/2026-05-23,13.46%,18.32%,-4.86%,0.6,0.13,226.0634/282.0816/317.6152/239.525/317.6152/339.3352/228.52,171.0/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),221.0
"QQQ, Long, 2025-10-10 (Price: 589.5)",2026-05-01 (Price: 674.15),"14.36%, 6.8 months","82.35%, Past 25 years, 17","Weekly, was CONFIRMED on 2025-10-10",No Cancellation Possible,"2026-05-08 (Price: 711.23), 20.65% above",7 months,10.23%,17.02%/14.9%/15.52%,"23.59%, 27.45%",8.1 months/1.6 month/5.1 months,2026-09-26/2025-12-18/2026-05-19,7.92%,7.91%,0.01%,0.48,-0.15,605.4165/680.9904/610.7303/No Horizontal Resistance/610.7303/836.2536/607.31,422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),608.45
"^NDX, Long, 2025-10-10 (Price: 24221.7402)",2026-05-01 (Price: 27710.3574),"14.4%, 6.8 months","88.24%, Past 25 years, 17","Weekly, was CONFIRMED on 2025-10-10",No Cancellation Possible,"2026-05-08 (Price: 29234.9941), 20.7% above",7 months,10.23%,16.37%/15.22%/15.65%,"22.97%, 27.91%",7.8 months/2.3 months/5.1 months,2026-09-13/2026-01-17/2026-05-19,9.83%,7.98%,1.85%,0.78,-0.14,24778.8402/28012.4425/25025.4383/No Horizontal Resistance/25025.4383/33965.62/24956.32,17397.7/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),24986.2598
"EFN.TO, Long, 2025-10-09 (Price: 36.31)",2026-05-08 (Price: 28.0),"-22.89%, 7 months","87.5%, Past 22 years, 8","Weekly, was CONFIRMED on 2025-10-09",No Cancellation Possible,"2026-05-08 (Price: 28.0), 22.89% below",7 months,10.23%,40.6%/22.12%/28.35%,"54.78%, 48.06%",1.7 year/2.1 months/10.9 months,2028-03-13/2026-01-08/2027-01-25,7.2%,9.58%,-2.38%,0.37,-0.03,37.9331/46.6039/45.1741/No Horizontal Resistance/45.1741/70.5281/No EMA 200 Target,36.01/11.7733/29.5041/No stop loss/No F-Track Level/No F-Track Level/34.97,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),36.84
