"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"SUNPHARMA.NS, Long, 2026-05-18 (Price: 1905.8)",No Exit Yet,"-1.34%, 2 days","92.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-05-18",Already confirmed,"2026-05-20 (Price: 1880.3), 1.34% below",2 days,"0, 2024-09-06 (Price: 1850.0)",2026-05-14 (Price: 1863.2),2026-05-18 (Price: 1905.8),6/2/2 days,0.92% above/1.34% below/1.34% below,2024-09-06 (Price: 1850.0)/2026-05-18 (Price: 1839.2609),11.76%/1.18%/3.15%,"2.03%, 13.23%",6.1 months/8 days/27 days,2027-02-07/2026-05-29/2026-06-26,17.09%,17.72%,-0.63%,0.9,1.14,2093.1401/1965.8327/1939.28/1935.175/2110.5488/2409.4589/No EMA 200 Target,1620.4/797.125/1465.6767/925.6338/No F-Track Level/No F-Track Level/1708.38,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),1878.2
"^GSPC, Long, 2026-05-17 (Price: 7408.5)",No Exit Yet,"0.33%, 3 days","100.0%, Past 10 years, 30","Weekly, is CONFIRMED on 2026-05-15",Already confirmed,"2026-05-20 (Price: 7432.9702), 0.33% above",3 days,"4, 2016-04-24 (Price: 2111.05)",2026-05-10 (Price: 7398.9302),2026-05-17 (Price: 7408.5),10/3/3 days,0.46% above/0.33% above/0.33% above,2016-04-24 (Price: 2111.05)/2026-05-17 (Price: 7335.1064),6.49%/1.35%/4.0%,"-0.0%, 31.81%",7.7 months/28 days/2.5 months,2027-04-16/2026-06-26/2026-09-02,8.54%,8.2%,0.34%,1.93,0.55,7971.546/7704.84/10586.97/No Horizontal Resistance/9765.5661/10911.139/No EMA 200 Target,6368.85/4128.7074/6767.7249/6316.2337/No F-Track Level/No F-Track Level/6779.87,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),7385.3101
"CSCO, Long, 2026-05-17 (Price: 118.21)",No Exit Yet,"-3.27%, 3 days","94.74%, Past 10 years, 19","Weekly, is CONFIRMED on 2026-05-15",Already confirmed,"2026-05-20 (Price: 114.35), 3.27% below",3 days,"2, 2016-04-03 (Price: 28.7)",2026-05-10 (Price: 96.57),2026-05-17 (Price: 118.21),10/3/3 days,18.41% above/3.27% below/3.27% below,2016-04-03 (Price: 28.7)/2026-05-17 (Price: 94.9275),14.42%/0.74%/6.58%,"16.99%, 36.88%",8.6 months/28 days/2.8 months,2027-05-25/2026-06-26/2026-09-15,7.43%,8.35%,-0.92%,0.58,0.45,129.7118/125.9882/171.92/No Horizontal Resistance/No Target/119.2504/No EMA 200 Target,73.88/40.92/78.7458/68.2017/No F-Track Level/No F-Track Level/76.65,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),96.35
"SPY, Long, 2026-05-17 (Price: 739.17)",No Exit Yet,"0.28%, 3 days","100.0%, Past 10 years, 24","Weekly, is CONFIRMED on 2026-05-15",Already confirmed,"2026-05-20 (Price: 741.25), 0.28% above",3 days,"4, 2016-04-24 (Price: 210.92)",2026-05-10 (Price: 737.62),2026-05-17 (Price: 739.17),10/3/3 days,0.49% above/0.28% above/0.28% above,2016-04-24 (Price: 210.92)/2026-05-17 (Price: 730.9072),9.31%/2.6%/4.31%,"0%, 32.23%",8.4 months/28 days/2.5 months,2027-05-17/2026-06-26/2026-09-02,8.51%,8.18%,0.33%,2.8,0.54,802.8125/771.0282/1056.12/No Horizontal Resistance/969.1148/1522.3697/No EMA 200 Target,634.09/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/676.07,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),736.45
"BNS.TO, Long, 2026-05-15 (Price: 106.16)",No Exit Yet,"2.2%, 5 days","96.43%, Past 4 years, 28","Daily, is CONFIRMED on 2026-05-15",Already confirmed,"2026-05-20 (Price: 108.5), 2.2% above",5 days,"4, 2026-02-11 (Price: 106.31)",2026-05-13 (Price: 104.82),2026-05-15 (Price: 106.16),7/5/5 days,3.51% above/2.2% above/2.2% above,2026-02-11 (Price: 106.31)/2026-05-15 (Price: 104.9252),4.49%/0.55%/2.36%,"5.65%, 21.81%",3.3 months/6 days/25 days,2026-10-05/2026-05-23/2026-06-20,4.76%,8.36%,-3.6%,0.84,0.55,113.0816/108.6654/106.25/No Horizontal Resistance/113.9126/137.6923/No EMA 200 Target,93.61/61.07/92.969/69.3218/No F-Track Level/No F-Track Level/95.59,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),105.4
"TD, Long, 2026-05-15 (Price: 107.64)",No Exit Yet,"1.8%, 5 days","92.86%, Past 4 years, 28","Daily, is CONFIRMED on 2026-05-15",Already confirmed,"2026-05-20 (Price: 109.58), 1.8% above",5 days,"6, 2020-02-11 (Price: 57.21)",2026-05-13 (Price: 106.54),2026-05-15 (Price: 107.64),7/5/5 days,2.85% above/1.8% above/1.8% above,2020-02-11 (Price: 57.21)/2026-05-15 (Price: 106.1637),8.73%/0.22%/2.84%,"7.15%, 16.74%",3.3 months/6 days/18 days,2026-10-05/2026-05-23/2026-06-10,11.87%,11.96%,-0.09%,0.53,0.75,114.2922/110.697/137.9/No Horizontal Resistance/115.2091/125.1041/No EMA 200 Target,104.31/54.526/97.2953/75.6865/No F-Track Level/No F-Track Level/88.91,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),107.41
"CNQ.TO, Long, 2026-05-15 (Price: 66.08)",No Exit Yet,"1.56%, 5 days","82.61%, Past 4 years, 23","Daily, is CONFIRMED on 2026-05-15",Already confirmed,"2026-05-20 (Price: 67.11), 1.56% above",5 days,"2, 2026-03-19 (Price: 70.44)",2026-05-13 (Price: 64.69),2026-05-15 (Price: 66.08),7/5/5 days,3.74% above/1.56% above/1.56% above,2026-03-19 (Price: 70.44)/2026-05-15 (Price: 63.9136),11.4%/0.32%/4.06%,"11.63%, 29.81%",1.5 month/4 days/13 days,2026-07-19/2026-05-20/2026-06-02,17.27%,23.61%,-6.34%,0.18,1.16,70.6461/68.7628/68.7/No Horizontal Resistance/68.6522/72.1856/No EMA 200 Target,60.89/34.9317/65.8353/48.4386/No F-Track Level/No F-Track Level/51.11,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),65.87
"SUNPHARMA.NS, Long, 2026-05-15 (Price: 1878.2)",No Exit Yet,"0.11%, 5 days","92.0%, Past 4 years, 25","Daily, is CONFIRMED on 2026-05-15",Already confirmed,"2026-05-20 (Price: 1880.3), 0.11% above",5 days,"0, 2024-09-06 (Price: 1850.0)",2026-05-14 (Price: 1863.2),2026-05-15 (Price: 1878.2),6/5/5 days,0.92% above/0.11% above/0.11% above,2024-09-06 (Price: 1850.0)/2026-05-15 (Price: 1839.3478),11.76%/1.18%/3.15%,"2.03%, 13.23%",6.1 months/8 days/27 days,2027-02-04/2026-05-26/2026-06-23,17.09%,17.72%,-0.63%,0.9,1.14,2062.8271/1937.3633/1895.12/1935.175/2110.5488/2409.4589/No EMA 200 Target,1620.4/797.125/1465.6767/925.6338/No F-Track Level/No F-Track Level/1707.27,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),1874.0
"IMO.TO, Long, 2026-05-15 (Price: 185.26)",No Exit Yet,"-0.76%, 5 days","95.24%, Past 4 years, 21","Daily, is CONFIRMED on 2026-05-15",Already confirmed,"2026-05-20 (Price: 183.85), 0.76% below",5 days,"2, 2026-03-30 (Price: 185.13)",2026-05-15 (Price: 185.26),2026-05-15 (Price: 185.26),5/5/5 days,0.76% below/0.76% below/0.76% below,2026-03-30 (Price: 185.13)/2026-05-15 (Price: 181.2937),7.92%/1.44%/4.7%,"8.02%, 26.59%",2.9 months/4 days/1 month,2026-09-18/2026-05-20/2026-06-27,18.1%,28.65%,-10.55%,1.07,1.42,195.7828/193.9672/185.34/No Horizontal Resistance/200.2184/314.1275/No EMA 200 Target,171.87/60.8067/129.8192/86.3092/No F-Track Level/No F-Track Level/142.21,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),182.41
"BTI, Long, 2026-05-12 (Price: 63.64)",2026-05-18 (Price: 66.35),"4.26%, 6 days","100.0%, Past 4 years, 15","Daily, is CONFIRMED on 2026-05-12",Already confirmed,"2026-05-20 (Price: 65.3), 2.61% above",8 days,"4, 2026-02-06 (Price: 63.03)",2026-05-08 (Price: 58.28),2026-05-12 (Price: 63.64),12/8/8 days,12.05% above/2.61% above/2.61% above,2026-02-06 (Price: 63.03)/2026-05-12 (Price: 58.2603),9.02%/0.81%/3.13%,"-0.0%, 8.72%",3.2 months/4 days/22 days,2026-09-28/2026-05-17/2026-06-12,12.9%,5.67%,7.23%,1.15,0.29,68.4703/65.6319/64.01/No Horizontal Resistance/82.226/92.0468/No EMA 200 Target,54.83/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/56.78,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),61.91
"BRK-B, Long, 2026-05-11 (Price: 479.55)",2026-05-18 (Price: 488.38),"1.84%, 7 days","100.0%, Past 4 years, 20","Daily, is CONFIRMED on 2026-05-11",Already confirmed,"2026-05-20 (Price: 480.9), 0.28% above",9 days,"2, 2026-02-04 (Price: 512.13)",2026-05-08 (Price: 475.94),2026-05-11 (Price: 479.55),12/9/9 days,1.04% above/0.28% above/0.28% above,2026-02-04 (Price: 512.13)/2026-05-11 (Price: 475.0957),5.02%/0.7%/2.78%,"-0.0%, 7.4%",2.1 months/6 days/15 days,2026-08-10/2026-05-19/2026-06-01,13.57%,12.19%,1.38%,1.66,0.86,506.6925/492.8815/499.1/512.2133/630.85/709.9376/489.76,465.52/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),476.4
"CSCO, Long, 2026-05-11 (Price: 98.72)",2026-05-18 (Price: 118.88),"20.42%, 7 days","100.0%, Past 4 years, 18","Daily, is CONFIRMED on 2026-05-11",Already confirmed,"2026-05-20 (Price: 114.35), 15.83% above",9 days,"2, 2020-01-17 (Price: 49.54)",2026-05-08 (Price: 96.57),2026-05-11 (Price: 98.72),12/9/9 days,18.41% above/15.83% above/15.83% above,2020-01-17 (Price: 49.54)/2026-05-11 (Price: 94.7879),8.16%/1.03%/3.39%,"-0.0%, 27.08%",1.6 month/6 days/15 days,2026-07-19/2026-05-19/2026-06-01,10.38%,10.07%,0.31%,1.32,0.57,103.4586/102.0666/128.23/No Horizontal Resistance/109.6316/119.2504/No EMA 200 Target,77.04/40.92/78.7458/68.2017/No F-Track Level/No F-Track Level/75.84,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),96.35
"AAPL, Long, 2026-05-10 (Price: 293.32)",No Exit Yet,"3.04%, 10 days","100.0%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-20 (Price: 302.25), 3.04% above",10 days,"2, 2025-12-07 (Price: 288.62)",2026-05-03 (Price: 280.14),2026-05-05 (Price: 284.18),17/15/10 days,7.89% above/6.36% above/3.04% above,2025-12-07 (Price: 288.62)/2026-05-10 (Price: 269.7733),18.76%/0.65%/9.6%,"-0.0%, 27.77%",1.4 year/1.2 month/4.4 months,2028-05-07/2026-07-01/2026-11-17,15.3%,15.83%,-0.53%,1.21,0.85,333.6515/321.4787/296.14/No Horizontal Resistance/294.7231/309.0801/No EMA 200 Target,247.99/136.32/189.8723/119.0319/No F-Track Level/No F-Track Level/257.02,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),279.655
"QQQ, Long, 2026-05-10 (Price: 711.23)",No Exit Yet,"0.27%, 10 days","88.89%, Past 10 years, 18","Weekly, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-20 (Price: 713.15), 0.27% above",10 days,"2, 2016-09-25 (Price: 119.22)",2026-04-26 (Price: 663.88),2026-05-08 (Price: 711.23),24/12/10 days,7.42% above/0.27% above/0.27% above,2016-09-25 (Price: 119.22)/2026-05-10 (Price: 651.38),12.09%/1.74%/6.41%,"10.15%, 35.46%",4.2 months/1.2 month/2.2 months,2026-11-08/2026-07-01/2026-08-13,7.81%,12.14%,-4.33%,0.34,0.81,804.33/756.8198/1066.44/No Horizontal Resistance/836.2536/910.0135/No EMA 200 Target,562.58/256.995/610.7303/563.3658/No F-Track Level/No F-Track Level/607.31,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),674.64
"ASHR, Long, 2026-05-10 (Price: 35.73)",No Exit Yet,"-0.62%, 10 days","76.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-20 (Price: 35.51), 0.62% below",10 days,"2, 2025-10-05 (Price: 33.32)",2026-05-10 (Price: 35.73),2026-05-08 (Price: 35.73),10/12/10 days,0.62% below/0.62% below/0.62% below,2025-10-05 (Price: 33.32)/2026-05-10 (Price: 35.187),24.71%/0.16%/9.6%,"34.5%, 52.68%",10.3 months/28 days/4.5 months,2027-07-31/2026-06-19/2026-11-21,0.45%,2.08%,-1.64%,-0.12,0.08,38.0131/39.1601/37.18/39.9467/60.2967/80.3432/No EMA 200 Target,32.0/23.36/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/32.73,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),35.39
"^GSPC, Long, 2026-05-10 (Price: 7398.9302)",No Exit Yet,"0.46%, 10 days","100.0%, Past 10 years, 30","Weekly, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-20 (Price: 7432.9702), 0.46% above",10 days,"2, 2025-11-02 (Price: 6920.3398)",2026-04-26 (Price: 7165.0801),2026-05-05 (Price: 7259.2202),24/15/10 days,3.74% above/2.39% above/0.46% above,2025-11-02 (Price: 6920.3398)/2026-05-10 (Price: 7090.5229),6.49%/1.35%/4.0%,"-0.0%, 31.81%",7.7 months/28 days/2.5 months,2027-04-09/2026-06-19/2026-08-26,8.54%,8.2%,0.34%,1.93,0.55,7961.2489/7694.8874/7686.08/No Horizontal Resistance/9765.5661/10911.139/No EMA 200 Target,6368.85/4128.7074/6767.7249/6316.2337/No F-Track Level/No F-Track Level/6753.41,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),7228.3799
"^NDX, Long, 2026-05-10 (Price: 29234.9941)",No Exit Yet,"0.21%, 10 days","95.0%, Past 10 years, 20","Weekly, is CONFIRMED on 2026-05-08",Already confirmed,"2026-05-20 (Price: 29297.6973), 0.21% above",10 days,"2, 2018-06-24 (Price: 7309.9902)",2026-04-26 (Price: 27303.666),2026-05-05 (Price: 28015.0605),24/15/10 days,7.3% above/4.58% above/0.21% above,2018-06-24 (Price: 7309.9902)/2026-05-10 (Price: 26825.1817),11.99%/1.69%/5.82%,"10.17%, 35.49%",4.9 months/1.2 month/2.8 months,2026-12-08/2026-07-01/2026-09-08,8.22%,12.18%,-3.96%,0.62,0.81,32252.0455/30936.4708/42390.0/No Horizontal Resistance/33965.62/36701.6323/No EMA 200 Target,23132.77/10555.915/25025.4383/22796.2371/No F-Track Level/No F-Track Level/24956.32,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),27731.3418
