"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Spread,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"EFN.TO, Long, 2026-04-28 (Price: 31.86)",No Exit Yet,"-2.79%, 8 days","87.5%, Past 22 years, 8","Weekly, was CONFIRMED on 2026-04-28",No Cancellation Possible,"2026-05-06 (Price: 30.97), 2.79% below",8 days,11.63%,40.6%/22.12%/28.35%,"54.78%, 48.06%",1.7 year/2.1 months/10.9 months,2028-09-30/2026-07-28/2027-08-14,7.2%,9.58%,-2.38%,0.37,-0.03,33.2841/40.8923/45.1741/34.925/45.1741/70.5281/35.04,30.11/12.67/29.5041/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),32.03
"^BVSP, Long, 2026-04-27 (Price: 189578.7969)",No Exit Yet,"-1.0%, 9 days","80.0%, Past 25 years, 15","Weekly, was CONFIRMED on 2026-04-27",No Cancellation Possible,"2026-05-06 (Price: 187690.8594), 1.0% below",9 days,11.63%,18.36%/16.77%/17.34%,"28.74%, 33.35%",4.3 years/2.1 months/8.4 months,2032-06-16/2026-07-27/2027-04-27,5.75%,7.46%,-1.71%,0.26,-0.13,195209.2872/222451.7603/192289.6/No Horizontal Resistance/192289.6/275648.698/No EMA 200 Target,176219.0/96132.0/173653.968/121313.6/No F-Track Level/No F-Track Level/161558.4,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),0.0
"SPOT, Long, 2026-04-27 (Price: 495.82)",No Exit Yet,"-14.23%, 9 days","100.0%, Past 8 years, 4","Weekly, was CONFIRMED on 2026-04-27",No Cancellation Possible,"2026-05-06 (Price: 425.25), 14.23% below",9 days,11.63%,46.58%/30.39%/34.75%,"0%, 45.57%",2.2 years/19 days/9.2 months,2029-06-17/2026-05-24/2027-05-31,22.69%,9.35%,13.34%,7.01,0.03,533.0561/668.1174/842.022/No Horizontal Resistance/842.022/896.959/587.54,422.61/118.6/456.7863/433.8097/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),508.84
"BEL.NS, Long, 2026-04-27 (Price: 435.6)",No Exit Yet,"0.6%, 9 days","100.0%, Past 23 years, 4","Weekly, was CONFIRMED on 2026-04-27",No Cancellation Possible,"2026-05-06 (Price: 438.2), 0.6% above",9 days,11.63%,12184.83%/422.85%/6303.84%,"-0.0%, 73.8%",15.3 years/3 years/9.1 years,2048-02-28/2030-08-08/2039-04-24,33.1%,16.83%,16.27%,0.52,0.12,No Target/27895.127/456.8119/No Horizontal Resistance/456.8119/613.9011/No EMA 200 Target,404.75/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/413.46,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),445.0
"WCN.TO, Long, 2026-04-27 (Price: 220.28)",No Exit Yet,"-4.94%, 9 days","78.95%, Past 24 years, 19","Weekly, was CONFIRMED on 2026-04-27",No Cancellation Possible,"2026-05-06 (Price: 209.4), 4.94% below",9 days,11.63%,16.77%/15.22%/15.84%,"29.79%, 31.21%",9.1 months/7 days/4.1 months,2027-05-27/2026-05-07/2026-10-20,5.93%,8.42%,-2.49%,0.24,-0.13,228.4744/255.1724/354.4788/252.7/354.4788/566.6704/237.29,216.7/148.255/142.2872/92.1958/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),225.46
"WIPRO.NS, Long, 2026-04-24 (Price: 199.36)",No Exit Yet,"-0.12%, 12 days","86.67%, Past 25 years, 15","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-06 (Price: 199.12), 0.12% below",12 days,11.63%,32.05%/22.31%/25.2%,"37.94%, 34.01%",2.3 years/11 days/7.5 months,2029-08-03/2026-05-09/2027-03-15,10.04%,5.49%,4.55%,0.58,-0.1,207.6334/249.5987/412.2037/366.6625/412.2037/473.5829/236.76,190.9/187.6062/198.5041/179.092/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),204.5
"WPM.TO, Long, 2026-04-24 (Price: 190.47)",No Exit Yet,"-3.7%, 12 days","85.71%, Past 20 years, 14","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-06 (Price: 183.43), 3.7% below",12 days,11.63%,36.24%/28.66%/31.38%,"45.88%, 55.53%",3.5 years/9 days/6.4 months,2031-04-23/2026-05-07/2027-01-27,13.2%,12.39%,0.81%,0.63,0.06,205.5933/250.2395/233.8832/No Horizontal Resistance/233.8832/263.3933/No EMA 200 Target,157.08/52.782/180.0371/146.152/No F-Track Level/No F-Track Level/164.11,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),205.63
"BPCL.NS, Long, 2026-04-24 (Price: 308.1)",No Exit Yet,"1.93%, 12 days","100.0%, Past 25 years, 8","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-06 (Price: 314.05), 1.93% above",12 days,11.63%,470.7%/68.82%/128.34%,"-0.0%, 60.18%",4.6 years/1.7 month/1.7 year,2032-11-15/2026-07-06/2028-09-26,26.72%,8.56%,18.16%,0.72,0.06,321.9645/703.5155/393.108/383.0667/393.108/467.0257/340.63,278.15/145.35/295.7614/248.4289/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),312.1
"NZDCAD=X, Long, 2026-04-24 (Price: 0.8033)",No Exit Yet,"-0.05%, 12 days","71.43%, Past 22 years, 21","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-06 (Price: 0.8029), 0.05% below",12 days,11.63%,7.19%/6.11%/6.4%,"17.07%, 11.02%",1.3 year/16 days/4.5 months,2028-03-01/2026-05-17/2026-11-05,2.8%,-0.17%,2.97%,-0.07,-1.01,0.8104/0.8547/1.0924/0.8902/1.0924/1.3117/0.81,0.79/0.783/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),0.8038
"WPM, Long, 2026-04-24 (Price: 139.44)",No Exit Yet,"-3.49%, 12 days","86.67%, Past 20 years, 15","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-06 (Price: 134.57), 3.49% below",12 days,11.63%,35.64%/30.37%/32.8%,"48.0%, 57.78%",3.7 years/9 days/6.4 months,2031-08-05/2026-05-07/2027-01-27,14.66%,13.17%,1.49%,0.65,0.08,148.908/185.1763/208.744/No Horizontal Resistance/208.744/224.283/No EMA 200 Target,114.62/38.3375/133.5026/114.4872/No F-Track Level/No F-Track Level/118.9,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),150.36
"BDGI.TO, Long, 2026-04-24 (Price: 63.71)",2026-05-01 (Price: 78.36),"22.99%, 7 days","78.57%, Past 25 years, 14","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-06 (Price: 83.81), 31.55% above",12 days,11.63%,37.5%/26.11%/30.68%,"45.17%, 49.58%",7.9 months/20 days/4.1 months,2027-04-02/2026-05-22/2026-10-17,7.19%,13.14%,-5.95%,0.36,0.06,66.7617/83.2562/79.9248/No Horizontal Resistance/79.9248/84.3122/66.93,60.49/24.32/58.0566/53.241/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),62.38
"BBTC.NS, Long, 2026-04-24 (Price: 1492.7)",No Exit Yet,"4.07%, 12 days","85.71%, Past 23 years, 14","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-06 (Price: 1553.5), 4.07% above",12 days,11.63%,43.46%/33.1%/37.61%,"50.52%, 56.37%",3.2 years/11 days/10.3 months,2030-11-17/2026-05-09/2027-07-15,11.76%,15.96%,-4.2%,0.6,0.12,1575.8434/2054.1045/3412.111/2145.0/3412.111/3761.7441/1789.86,1375.0/846.25/1057.7422/973.2526/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),1540.0
"IMO.TO, Long, 2026-04-24 (Price: 169.79)",No Exit Yet,"2.61%, 12 days","84.62%, Past 25 years, 13","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-06 (Price: 174.22), 2.61% above",12 days,11.63%,24.26%/19.3%/20.89%,"39.96%, 38.59%",2.8 years/1.1 month/8.8 months,2030-04-21/2026-06-10/2027-05-11,7.09%,7.38%,-0.29%,0.39,-0.1,170.5541/205.2591/188.7349/No Horizontal Resistance/188.7349/196.834/No EMA 200 Target,116.04/60.8067/143.048/134.0661/No F-Track Level/No F-Track Level/139.97,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),167.49
"WFG.TO, Long, 2026-04-24 (Price: 89.5)",No Exit Yet,"-4.34%, 12 days","73.33%, Past 25 years, 15","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-06 (Price: 85.62), 4.34% below",12 days,11.63%,25.64%/22.25%/24.14%,"34.07%, 41.0%",1.5 year/1.3 month/9.8 months,2028-06-14/2026-06-19/2027-06-23,3.22%,5.08%,-1.86%,0.11,-0.11,90.386/111.1053/170.6139/131.52/170.6139/181.1797/92.2,82.38/81.2433/80.1487/76.1079/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),91.2
"HDB, Long, 2026-04-23 (Price: 25.51)",No Exit Yet,"0.47%, 13 days","81.25%, Past 25 years, 16","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-06 (Price: 25.63), 0.47% above",13 days,11.63%,33.4%/24.26%/26.06%,"39.56%, 45.97%",3.6 years/14 days/8.1 months,2031-06-13/2026-05-13/2027-04-09,7.04%,10.43%,-3.39%,0.33,0.0,26.7243/32.1579/40.717/39.3812/40.717/48.6484/33.37,24.35/No Horizontal Support/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),26.72
"BRK-B, Long, 2026-04-23 (Price: 470.55)",No Exit Yet,"-0.15%, 13 days","73.68%, Past 25 years, 19","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-06 (Price: 469.83), 0.15% below",13 days,11.63%,18.46%/13.14%/14.26%,"33.7%, 24.78%",1.3 year/1.5 month/6.6 months,2028-02-29/2026-06-27/2027-02-03,3.14%,6.76%,-3.62%,0.05,-0.22,476.1966/537.6504/630.85/512.2133/630.85/709.9376/489.81,468.49/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),474.38
"TSLA, Long, 2026-04-23 (Price: 373.72)",No Exit Yet,"6.69%, 13 days","100.0%, Past 15 years, 9","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-06 (Price: 398.73), 6.69% above",13 days,11.63%,58.23%/37.0%/42.1%,"-0.0%, 48.54%",1.3 year/13 days/6.2 months,2028-02-29/2026-05-11/2027-01-17,23.35%,27.41%,-4.06%,2.34,0.25,397.6755/531.0561/494.4819/487.1467/494.4819/553.1211/403.51,348.95/196.47/348.637/262.8246/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),402.58
"HDFCBANK.NS, Long, 2026-04-23 (Price: 784.35)",No Exit Yet,"1.56%, 13 days","83.33%, Past 25 years, 18","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-06 (Price: 796.55), 1.56% above",13 days,11.63%,44.95%/18.13%/21.62%,"28.44%, 32.67%",1.9 year/28 days/5.7 months,2029-01-07/2026-06-02/2026-12-26,11.02%,12.4%,-1.38%,0.59,-0.0,810.4689/953.9265/1098.0619/1009.6/1098.0619/1180.6259/937.62,750.9/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),797.1
"FXI, Long, 2026-04-23 (Price: 36.49)",No Exit Yet,"2.74%, 13 days","71.43%, Past 21 years, 14","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-06 (Price: 37.49), 2.74% above",13 days,11.63%,22.51%/20.77%/21.62%,"31.93%, 34.24%",3.2 years/4 days/1 year,2030-11-16/2026-04-28/2027-09-26,2.12%,2.33%,-0.21%,0.03,-0.18,37.4789/44.3791/90.5742/42.105/90.5742/95.3274/38.65,34.85/20.865/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),37.58
"IEI, Long, 2026-04-23 (Price: 118.49)",No Exit Yet,"-0.36%, 13 days","87.5%, Past 19 years, 16","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-06 (Price: 118.06), 0.36% below",13 days,11.63%,51.36%/2.63%/6.87%,"4.04%, 5.38%",3.2 years/1.1 month/8.3 months,2030-11-16/2026-06-09/2027-04-18,5.31%,0.6%,4.71%,0.2,-2.28,119.4853/126.6303/No Target/130.0867/No Next Fib Ext/No Next Fib Ext/119.27,117.96/113.4857/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),118.98
"KWEB, Long, 2026-04-23 (Price: 28.43)",No Exit Yet,"4.68%, 13 days","100.0%, Past 12 years, 6","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-06 (Price: 29.76), 4.68% above",13 days,11.63%,30.05%/24.34%/26.01%,"-0.0%, 30.22%",2.6 years/1.9 month/11.2 months,2030-01-07/2026-07-14/2027-08-22,12.5%,0.45%,12.05%,1.83,-0.17,28.774/35.8246/No Target/54.865/No Next Fib Ext/No Next Fib Ext/35.48,27.91/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),30.08
"GLD, Long, 2026-04-23 (Price: 431.04)",No Exit Yet,"-0.02%, 13 days","87.5%, Past 21 years, 16","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-06 (Price: 430.96), 0.02% below",13 days,11.63%,13.15%/11.45%/12.26%,"21.9%, 24.36%",3.4 years/14 days/6.7 months,2031-02-28/2026-05-13/2027-02-08,7.89%,7.57%,0.32%,0.53,-0.24,443.8419/483.8855/520.3579/No Horizontal Resistance/520.3579/624.146/No EMA 200 Target,413.38/150.8/424.4974/381.6561/No F-Track Level/No F-Track Level/393.21,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),443.13
"NKE, Long, 2026-04-23 (Price: 44.78)",No Exit Yet,"-2.01%, 13 days","78.57%, Past 25 years, 14","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-06 (Price: 43.88), 2.01% below",13 days,11.63%,21.59%/18.74%/19.71%,"38.98%, 41.08%",2 years/23 days/8.4 months,2029-02-28/2026-05-26/2027-04-23,5.2%,6.29%,-1.09%,0.24,-0.13,45.8189/53.6061/171.1647/176.74/171.1647/206.9588/63.59,42.62/No Horizontal Support/37.5153/33.4875/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),45.98
"SLV, Long, 2026-04-23 (Price: 68.38)",No Exit Yet,"2.56%, 13 days","71.43%, Past 20 years, 14","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-06 (Price: 70.13), 2.56% above",13 days,11.63%,24.08%/21.41%/22.42%,"32.7%, 40.96%",1.7 year/1.4 month/6.9 months,2028-09-25/2026-06-22/2027-02-16,3.46%,5.6%,-2.14%,0.12,-0.11,69.0775/83.7108/89.0774/No Horizontal Resistance/89.0774/95.4033/No EMA 200 Target,61.52/18.99/67.9787/59.1217/No F-Track Level/No F-Track Level/56.87,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),72.65
"NFLX, Long, 2026-04-23 (Price: 92.82)",No Exit Yet,"-4.9%, 13 days","94.12%, Past 23 years, 17","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-06 (Price: 88.27), 4.9% below",13 days,11.63%,47.63%/34.53%/37.77%,"57.74%, 57.13%",2.3 years/15 days/6.5 months,2029-08-02/2026-05-14/2027-01-30,21.2%,21.21%,-0.01%,1.16,0.19,100.9046/127.8781/139.352/No Horizontal Resistance/139.352/152.4292/103.64,76.87/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),97.145
"XLV, Long, 2026-04-23 (Price: 146.24)",No Exit Yet,"-0.57%, 13 days","76.47%, Past 25 years, 17","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-06 (Price: 145.4), 0.57% below",13 days,11.63%,12.25%/10.92%/11.51%,"19.33%, 19.96%",1.6 year/1.6 month/8.1 months,2028-08-04/2026-07-01/2027-04-09,4.26%,4.63%,-0.37%,0.14,-0.36,148.5945/163.0722/174.1807/159.855/174.1807/202.706/147.17,143.26/122.2417/117.2225/81.225/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),148.45
